Employee_ID,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
180.0,3.0,2,2.0,5.0,0.0,5.0,2.0,0.0,1.0,6.0,4.0,5.0,0.0,7.0,5.0,5.0,1.0,4.0,0.0,5.0,36 to 50,F,609.5
172.0,2.0,3,4.0,3.0,8.0,10.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,8.0,2.0,2.0,2.0,3.0,2.0,6.0,36 to 50,F,655.6
247.0,2.0,3,3.0,4.0,4.0,10.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,8.0,10.0,2.0,2.0,4.0,8.0,3.0,36 to 50,F,631.6
134.0,5.0,3,6.0,4.0,3.0,3.0,5.0,4.0,1.0,10.0,2.0,1.0,5.0,10.0,0.0,2.0,2.0,10.0,3.0,10.0,21 to 35,F,702.8
273.0,1.0,4,3.0,8.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,8.0,2.0,7.0,7.0,1.0,2.0,4.0,1.0,7.0,21 to 35,M,618.6
92.0,2.0,2,10.0,5.0,2.0,8.0,3.0,4.0,2.0,7.0,1.0,6.0,10.0,8.0,0.0,0.0,2.0,5.0,2.0,7.0,21 to 35,M,686.4
282.0,5.0,3,0.0,3.0,6.0,6.0,6.0,3.0,1.0,8.0,7.0,7.0,2.0,6.0,0.0,3.0,2.0,5.0,6.0,5.0,36 to 50,F,689.6
75.0,3.0,3,2.0,3.0,7.0,5.0,3.0,2.0,1.0,8.0,0.0,2.0,5.0,8.0,3.0,2.0,1.0,4.0,5.0,4.0,21 to 35,F,639.7
146.0,3.0,3,5.0,4.0,10.0,10.0,2.0,5.0,1.0,7.0,2.0,8.0,10.0,6.0,1.0,2.0,2.0,8.0,3.0,10.0,51 or more,F,720.4
37.0,4.0,2,10.0,4.0,6.0,10.0,4.0,0.0,1.0,8.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,3.0,3.0,21 to 35,M,673.5
286.0,4.0,2,10.0,10.0,5.0,10.0,0.0,1.0,1.0,7.0,1.0,10.0,2.0,8.0,0.0,3.0,2.0,4.0,8.0,6.0,21 to 35,M,707.6
209.0,3.0,1,6.0,10.0,10.0,6.0,3.0,5.0,2.0,8.0,4.0,1.0,5.0,8.0,0.0,0.0,2.0,5.0,1.0,2.0,36 to 50,M,687.1
30.0,3.0,5,5.0,4.0,5.0,3.0,2.0,5.0,2.0,10.0,6.0,3.0,3.0,7.0,5.0,7.0,2.0,10.0,10.0,10.0,21 to 35,F,668.6
36.0,5.0,2,8.0,6.0,10.0,10.0,6.0,4.0,2.0,4.0,4.0,3.0,3.0,7.0,1.0,2.0,2.0,10.0,6.0,8.0,36 to 50,M,709.4
268.0,2.0,2,6.0,10.0,10.0,10.0,10.0,5.0,1.0,10.0,6.0,7.0,4.0,7.0,0.0,1.0,2.0,10.0,5.0,7.0,36 to 50,M,752.7
132.0,2.0,4,6.0,10.0,5.0,5.0,6.0,4.0,2.0,6.0,1.0,7.0,10.0,6.0,0.0,3.0,2.0,1.0,3.0,10.0,36 to 50,F,677.7
173.0,2.0,4,10.0,3.0,10.0,7.0,8.0,3.0,1.0,6.0,0.0,5.0,5.0,7.0,0.0,1.0,2.0,10.0,2.0,2.0,21 to 35,F,692.8
33.0,0.0,5,0.0,3.0,3.0,8.0,1.0,5.0,2.0,4.0,4.0,1.0,1.0,6.0,10.0,10.0,2.0,3.0,2.0,1.0,36 to 50,F,574.5
285.0,3.0,3,0.0,2.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,2.0,0.0,6.0,0.0,6.0,1.0,2.0,2.0,10.0,21 to 35,M,591.7
128.0,2.0,5,1.0,8.0,5.0,2.0,2.0,5.0,2.0,2.0,0.0,10.0,0.0,8.0,7.0,10.0,1.0,2.0,0.0,10.0,36 to 50,F,593.7
198.0,4.0,1,1.0,10.0,10.0,10.0,5.0,5.0,2.0,8.0,3.0,7.0,3.0,6.0,7.0,2.0,1.0,6.0,4.0,10.0,51 or more,M,682.8
304.0,5.0,3,6.0,6.0,10.0,7.0,3.0,5.0,1.0,8.0,5.0,3.0,4.0,9.0,0.0,3.0,2.0,6.0,6.0,10.0,51 or more,F,723.4
136.0,4.0,2,10.0,8.0,8.0,4.0,6.0,3.0,1.0,5.0,4.0,3.0,2.0,7.0,10.0,1.0,2.0,5.0,4.0,8.0,21 to 35,F,687.3
232.0,3.0,2,4.0,1.0,1.0,10.0,3.0,2.0,1.0,7.0,5.0,7.0,2.0,7.0,4.0,3.0,1.0,3.0,5.0,8.0,21 to 35,M,652.4
182.0,2.0,3,3.0,10.0,3.0,4.0,0.0,4.0,1.0,7.0,1.0,8.0,1.0,8.0,0.0,3.0,2.0,2.0,2.0,3.0,36 to 50,F,657.9
252.0,3.0,5,10.0,2.0,9.0,10.0,5.0,5.0,1.0,10.0,1.0,10.0,10.0,5.0,10.0,7.0,2.0,7.0,2.0,2.0,36 to 50,F,686.6
87.0,4.0,2,10.0,10.0,5.0,8.0,5.0,2.0,2.0,6.0,3.0,10.0,2.0,8.0,2.0,2.0,1.0,10.0,3.0,7.0,21 to 35,F,685.5
109.0,2.0,3,3.0,10.0,10.0,10.0,5.0,1.0,2.0,7.0,4.0,2.0,6.0,8.0,0.0,2.0,2.0,4.0,1.0,1.0,36 to 50,F,663.5
289.0,3.0,5,8.0,9.0,5.0,10.0,4.0,2.0,2.0,8.0,4.0,10.0,2.0,8.0,10.0,4.0,2.0,3.0,3.0,5.0,21 to 35,F,658.3
181.0,4.0,2,5.0,10.0,10.0,2.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,6.0,10.0,1.0,2.0,3.0,4.0,4.0,21 to 35,F,640.8
231.0,5.0,4,10.0,6.0,5.0,10.0,7.0,4.0,1.0,4.0,4.0,10.0,1.0,7.0,0.0,2.0,2.0,6.0,4.0,5.0,36 to 50,M,712.5
276.0,0.0,5,0.0,2.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,21 to 35,M,571.9
78.0,4.0,3,1.0,7.0,5.0,8.0,5.0,3.0,1.0,7.0,3.0,8.0,3.0,7.0,10.0,1.0,2.0,3.0,9.0,4.0,21 to 35,F,678.1
228.0,5.0,2,4.0,5.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,6.0,3.0,7.0,8.0,3.0,1.0,4.0,8.0,8.0,21 to 35,M,648.8
290.0,2.0,1,3.0,3.0,2.0,4.0,1.0,5.0,2.0,5.0,2.0,10.0,1.0,7.0,0.0,1.0,2.0,5.0,3.0,10.0,21 to 35,M,661.5
225.0,3.0,2,6.0,4.0,10.0,10.0,1.0,1.0,2.0,7.0,0.0,1.0,1.0,8.0,0.0,1.0,2.0,6.0,2.0,6.0,21 to 35,F,656.5
